GX,GY,GZ,AX,AY,AZ
-0.265108,0.008615,-0.133415,0.063435,-0.023759,1.000329
-0.295877,0.008615,-0.133415,0.063679,-0.023515,1.000329
-0.295877,-0.022154,-0.133415,0.063435,-0.023271,1.000329
-0.295877,-0.022154,-0.164185,0.063435,-0.023271,0.999596
-0.295877,-0.022154,-0.164185,0.062946,-0.024247,0.998864
-0.295877,-0.052923,-0.164185,0.062702,-0.024003,0.998375
-0.265108,-0.052923,-0.194954,0.062214,-0.023759,0.997887
-0.265108,-0.052923,-0.194954,0.062214,-0.023515,0.997643
-0.295877,-0.083692,-0.194954,0.062458,-0.023759,0.997643
-0.295877,-0.114462,-0.194954,0.063191,-0.023759,0.997155
-0.295877,-0.114462,-0.194954,0.063435,-0.023759,0.996422
-0.295877,-0.114462,-0.194954,0.063923,-0.024491,0.995934
-0.265108,-0.083692,-0.194954,0.063679,-0.025224,0.996422
-0.234338,-0.083692,-0.194954,0.063923,-0.025224,0.996178
-0.234338,-0.114462,-0.164185,0.063923,-0.025224,0.996422
-0.203569,-0.114462,-0.194954,0.064167,-0.02498,0.995446
-0.203569,-0.114462,-0.194954,0.0649,-0.02498,0.995446
-0.1728,-0.083692,-0.164185,0.065144,-0.02498,0.995202
-0.142031,-0.052923,-0.164185,0.065144,-0.02498,0.994957
-0.142031,-0.022154,-0.133415,0.065144,-0.024736,0.994713
-0.142031,0.008615,-0.133415,0.0649,-0.024736,0.995202
-0.142031,0.039385,-0.133415,0.064655,-0.025224,0.995934
-0.142031,0.039385,-0.133415,0.064167,-0.025956,0.997399
-0.142031,0.070154,-0.102646,0.064167,-0.026445,0.997887
-0.111262,0.070154,-0.133415,0.063923,-0.026445,0.997399
-0.111262,0.100923,-0.133415,0.063191,-0.026689,0.997155
-0.111262,0.100923,-0.133415,0.063191,-0.026445,0.997399
-0.111262,0.131692,-0.133415,0.062458,-0.026689,0.997399
-0.142031,0.131692,-0.102646,0.062214,-0.025956,0.997155
-0.142031,0.131692,-0.102646,0.062214,-0.025468,0.997399
-0.203569,0.131692,-0.102646,0.062214,-0.025712,0.997643
-0.234338,0.131692,-0.102646,0.06197,-0.025712,0.997643
-0.234338,0.131692,-0.102646,0.062214,-0.025956,0.997887
-0.265108,0.131692,-0.102646,0.062702,-0.0262,0.997399
-0.265108,0.131692,-0.133415,0.063435,-0.026445,0.997399
-0.295877,0.131692,-0.133415,0.063679,-0.026689,0.996911
-0.295877,0.131692,-0.133415,0.063923,-0.027177,0.996178
-0.295877,0.100923,-0.164185,0.063923,-0.027421,0.99569
-0.295877,0.100923,-0.164185,0.063435,-0.027421,0.995934
-0.265108,0.070154,-0.164185,0.062946,-0.026933,0.996178
-0.234338,0.070154,-0.164185,0.063435,-0.026933,0.996911
-0.203569,0.039385,-0.194954,0.063679,-0.027177,0.996911
-0.203569,0.039385,-0.194954,0.063435,-0.027421,0.996666
-0.1728,0.008615,-0.194954,0.062702,-0.027665,0.996666
-0.142031,0.008615,-0.194954,0.062458,-0.028154,0.997643
-0.080492,0.008615,-0.194954,0.06197,-0.027909,0.997887
-0.049723,0.008615,-0.194954,0.061726,-0.027909,0.997399
-0.018954,-0.022154,-0.225723,0.062458,-0.027421,0.997887
0.011815,-0.052923,-0.225723,0.062702,-0.026933,0.997887
0.042585,-0.052923,-0.194954,0.062458,-0.026933,0.998375
0.073354,-0.083692,-0.194954,0.062702,-0.026445,0.998375
0.134892,-0.083692,-0.194954,0.062702,-0.026445,0.997887
0.134892,-0.114462,-0.194954,0.062458,-0.025956,0.99862
0.134892,-0.083692,-0.194954,0.062458,-0.025468,0.99862
0.104123,-0.114462,-0.194954,0.062214,-0.025224,0.999108
0.104123,-0.145231,-0.194954,0.062458,-0.025224,0.99862
0.073354,-0.114462,-0.194954,0.062946,-0.02498,0.997155
0.042585,-0.145231,-0.194954,0.063679,-0.024247,0.996911
0.011815,-0.145231,-0.194954,0.063435,-0.023271,0.996422
-0.049723,-0.145231,-0.194954,0.063191,-0.023271,0.996666
-0.049723,-0.114462,-0.164185,0.063435,-0.023759,0.996666
-0.111262,-0.114462,-0.133415,0.063679,-0.023515,0.997155
-0.111262,-0.083692,-0.164185,0.063679,-0.023515,0.997155
-0.1728,-0.083692,-0.164185,0.062946,-0.024247,0.997399
-0.1728,-0.083692,-0.164185,0.063191,-0.024491,0.997643
-0.203569,-0.052923,-0.133415,0.063191,-0.024247,0.997155
-0.203569,-0.052923,-0.133415,0.063435,-0.024003,0.997399
