GX,GY,GZ,AX,AY,AZ
-0.542031,1.239385,-0.010338,0.065388,0.008223,0.999596
0.042585,-1.376,-0.194954,0.075154,0.001387,1.013512
-1.218954,0.316308,-0.3488,0.092732,-0.006425,0.998375
1.796431,-1.006769,-0.256492,0.077107,-0.021562,0.993248
-0.388185,1.547077,-0.010338,0.063191,-0.008378,1.000084
-0.388185,-0.176,-0.441108,0.080525,-0.008134,0.999352
1.704123,-0.514462,0.297354,0.081989,-0.024491,0.987877
-1.188185,0.962462,-0.7488,0.075154,0.007247,1.014245
2.2272,-0.822154,-0.287262,0.078083,-0.007157,1.023766
-1.7728,0.193231,-0.041108,0.062458,-0.026689,1.004723
0.504123,0.931692,-0.502646,0.094929,-0.007157,0.984948
1.0272,-0.606769,-0.379569,0.057331,-0.008378,0.996666
-1.095877,-0.022154,0.297354,0.075154,-0.013993,0.994957
-0.511262,0.131692,-0.3488,0.088093,-0.013261,0.980065
2.196431,0.347077,-0.410338,0.063191,-0.009599,1.00692
-0.911262,0.716308,-0.318031,0.065388,0.001876,1.018395
-0.849723,-0.452923,0.0512,0.067585,-0.024003,0.994225
1.181046,-0.729846,-0.410338,0.067097,-0.009599,0.986413
0.134892,0.562462,-0.687262,0.08321,-0.01497,1.024987
0.534892,1.670154,-0.010338,0.067585,0.001876,0.998131
-0.634338,-2.729846,-0.318031,0.074909,-0.001298,1.000084
-0.326646,1.239385,-0.656492,0.076618,6.55E-4,1.011559
0.750277,-0.329846,-0.133415,0.060261,-0.027909,1.005455
-0.265108,0.716308,-0.164185,0.070271,-0.001298,0.993493
-0.665108,0.254769,-0.010338,0.0732,-0.012284,0.997399
-0.265108,-0.668308,-0.533415,0.065632,-0.017655,0.99862
0.504123,0.777846,0.081969,0.093952,0.007491,0.991784
0.288738,-0.206769,-0.564185,0.082234,-0.006181,1.004479
0.565662,0.070154,-0.194954,0.06612,-0.00203,0.995934
0.381046,-0.945231,-0.3488,0.088825,-0.006669,0.990807
0.6272,0.500923,-0.133415,0.060261,-0.008378,0.979577
-1.126646,-0.206769,-0.010338,0.078816,6.55E-4,1.004479
0.350277,-0.606769,-0.594954,0.083943,-0.005448,0.997155
0.842585,0.993231,-0.318031,0.076618,-0.01204,0.984459
1.550277,-0.452923,-0.194954,0.088581,-3.21E-4,0.995934
-1.249723,0.377846,-0.410338,0.078816,-0.017167,0.986657
0.196431,-0.114462,-0.133415,0.059284,-0.019853,0.98275
0.688738,0.470154,-0.287262,0.094685,0.021895,0.996178
-1.311262,-1.037538,0.235815,0.065144,-0.009355,1.00277
2.965662,1.054769,-0.933415,0.053913,0.007735,1.003014
-2.480492,-0.022154,-0.010338,0.073689,-0.008622,1.013756
0.196431,0.470154,0.020431,0.080769,-0.02498,0.99569
1.119508,0.347077,-0.933415,0.057575,0.003829,0.993493
-1.095877,-0.883692,0.235815,0.08614,0.003829,0.994713
0.719508,0.685538,-0.041108,0.079792,-0.030595,0.983727
-0.080492,0.039385,-0.441108,0.072956,0.004805,0.99276
-0.142031,0.131692,-0.010338,0.086628,-0.020097,0.987633
-0.542031,-0.176,-0.318031,0.069538,-0.022538,1.011559
0.934892,0.900923,-0.687262,0.062946,4.11E-4,0.996666
-1.403569,-1.437539,-0.071877,0.079548,-0.022782,0.966637
0.750277,0.624,0.081969,0.065388,-0.024247,1.00692
0.073354,0.470154,-0.256492,0.088337,0.017012,0.991784
-0.665108,-0.114462,0.0512,0.070515,-0.019364,0.99276
1.365662,1.454769,-0.379569,0.069538,-3.21E-4,1.012291
-2.726646,-1.991385,-0.194954,0.090046,-8.1E-4,0.990563
2.011815,1.208615,-0.410338,0.065388,-0.034013,0.987145
-0.634338,-0.760615,-0.194954,0.059284,-7.7E-5,0.992028
0.473354,0.162462,-0.287262,0.088825,-0.005937,0.994713
-0.665108,0.377846,-0.102646,0.084919,0.002608,0.976891
0.657969,-0.791385,-0.410338,0.0649,-0.016679,0.994713
1.211815,2.070154,-0.594954,0.102741,0.010421,0.999596
0.288738,-1.468308,-0.164185,0.060993,-0.018144,1.002282
0.011815,0.470154,-0.071877,0.05489,-0.012529,0.987877
-0.265108,-0.576,-0.379569,0.061237,-0.003739,0.996911
-0.5728,0.900923,0.0512,0.080769,-0.019364,1.013268
0.934892,0.685538,-0.810338,0.084187,0.012862,0.98568
-1.280492,-0.791385,0.174277,0.081257,-0.004228,1.001793
-1.680492,0.716308,-0.041108,0.081257,-0.015214,0.993004
3.519508,-0.268308,-0.841108,0.079792,-0.00203,0.994225
-1.188185,1.239385,0.205046,0.072224,-0.010331,0.987145
-0.511262,-0.606769,-0.871877,0.065388,-0.007157,0.997155
0.657969,-0.668308,0.143508,0.081989,-5.66E-4,1.000573
0.042585,0.162462,-0.471877,0.096882,-0.030107,0.975914
1.304123,0.285538,-0.564185,0.058064,-0.023515,0.983727
-0.695877,-0.268308,0.358892,0.075154,0.007491,0.992516
-0.295877,0.716308,-0.102646,0.063191,-0.035478,0.99862
-0.265108,-0.883692,-0.718031,0.068562,0.016524,1.001305
1.304123,1.731692,-0.071877,0.09029,-0.007646,1.003258
0.257969,-0.883692,-0.718031,0.078083,0.014815,1.005455
-1.065108,0.162462,0.297354,0.066853,-0.020585,1.007897
0.2272,-0.114462,-0.533415,0.079792,-0.002763,0.983483
2.257969,1.116308,-0.318031,0.058308,-0.009599,1.001305
-1.588185,-0.976,-0.3488,0.079304,0.003829,0.991295
0.350277,0.100923,-0.102646,0.078083,-0.003739,0.99984
1.334892,0.285538,-0.194954,0.065876,8.99E-4,0.994469
-1.588185,-0.606769,-0.502646,0.075642,-0.003495,1.007164
2.350277,1.147077,-0.102646,0.084675,-0.013505,0.992516
-2.049723,-0.483692,-0.810338,0.063191,-0.016435,0.995446
-1.280492,0.347077,0.174277,0.092732,0.004561,0.987633
1.673354,-1.006769,-0.656492,0.065388,-0.017411,0.98275
-0.880492,1.547077,-0.071877,0.082722,0.00505,0.972252
2.781046,-0.883692,-0.718031,0.098591,-0.009843,0.986168
-1.126646,0.470154,-0.102646,0.072224,-0.004472,0.98153
-3.249723,-1.683692,0.205046,0.072224,-0.014726,0.981041
3.519508,0.439385,-0.471877,0.098835,-0.027177,0.981286
3.181046,1.547077,-0.656492,0.046833,-0.003984,1.015954
-2.942031,-0.052923,0.0512,0.071003,0.001143,1.010094
1.211815,-0.668308,-0.7488,0.090534,-0.004472,0.994957
0.534892,0.131692,0.205046,0.073445,0.011641,1.003747
-2.726646,0.408615,-0.287262,0.076618,-0.010575,0.992272
1.4272,-1.376,-0.071877,0.085163,-0.006669,0.991539
0.504123,1.177846,-0.410338,0.070759,-0.02205,1.003014
0.504123,0.777846,-0.841108,0.068073,0.003829,1.004967
-0.818954,-0.606769,0.143508,0.087849,-0.010087,0.993737
1.181046,-0.606769,-0.841108,0.053669,-0.031327,1.003991
0.873354,1.916308,0.389662,0.093464,0.004561,1.010827
-0.942031,-1.437539,-0.287262,0.077107,-0.004716,0.974694
0.165662,0.500923,-0.441108,0.05782,-0.009355,1.01278
-0.142031,0.624,-0.441108,0.087361,0.009932,1.008385
0.288738,-0.760615,-0.133415,0.077595,-0.020341,0.987145
0.996431,0.839385,-0.594954,0.069782,-0.012773,0.997643
0.350277,0.316308,0.205046,0.083943,-0.01204,0.989586
-0.049723,-0.360615,-0.379569,0.0649,-0.018632,0.988366
-1.926646,-0.329846,-0.287262,0.088581,0.001387,0.994469
0.565662,0.254769,-0.133415,0.095173,-0.016679,0.984215
2.042585,0.808615,-0.656492,0.077351,-0.004472,1.001793
-1.126646,-0.422154,-0.071877,0.080525,-0.009843,0.994469
1.365662,1.762462,-0.225723,0.084675,-0.0179,1.001549
0.781046,0.408615,-0.594954,0.065632,0.001632,0.981041
-0.911262,0.224,-0.010338,0.093464,0.008223,0.98983
0.257969,-0.976,-0.225723,0.061726,-0.0179,0.99862
0.350277,1.547077,-0.010338,0.062946,-0.006669,1.003991
0.904123,-0.914462,-0.287262,0.090534,-0.023271,0.986901
-1.003569,0.777846,-0.071877,0.042683,-0.008134,0.987145
-0.080492,-0.452923,-0.3488,0.088337,-8.1E-4,0.985192
0.719508,0.254769,-0.071877,0.07906,-0.018632,0.99569
-1.280492,0.808615,-0.225723,0.065632,0.001632,1.004967
0.688738,-0.699077,-0.810338,0.091023,-0.024247,0.979821
0.534892,-0.237538,0.081969,0.056599,-0.012529,0.995446
-1.495877,1.577846,-0.225723,0.067341,-0.01497,1.005455
1.242585,-1.468308,-0.625723,0.084675,-0.003739,0.984704
0.473354,0.500923,0.235815,0.062946,-0.007157,0.993493
-1.126646,-1.222154,-0.810338,0.066609,-0.005937,0.999108
-0.080492,0.808615,0.020431,0.083698,-0.017167,0.976647
1.181046,0.347077,-0.010338,0.068073,-0.012773,0.986413
-3.342031,-1.899077,-0.256492,0.072712,-0.008866,1.010582
-0.357415,0.839385,0.328123,0.076862,-0.023515,0.977868
3.950277,1.700923,-0.625723,0.071003,-0.012284,0.977623
-1.218954,-0.914462,-0.256492,0.075398,0.011641,1.001793
-0.5728,-1.468308,0.481969,0.089314,-0.024247,0.984459
2.288738,1.824,-0.933415,0.060017,-0.03328,1.013756
2.196431,1.854769,-0.471877,0.07198,0.003341,0.998131
-3.342031,-1.529846,0.205046,0.057575,-0.011064,0.998131
-0.111262,-1.314462,0.020431,0.071247,-3.21E-4,0.991051
1.119508,2.162462,-0.471877,0.082234,-0.023271,0.995202
0.965662,0.100923,-0.133415,0.068318,-0.002519,1.011803
